"Hour","PM25"
"2008-04-09",69
"2008-04-09",56
"2008-04-09",52
"2008-04-09",54
"2008-04-09",50
"2008-04-09",57
"2008-04-09",71
"2008-04-10",59
"2008-04-10",49
"2008-04-10",47
"2008-04-10",45
"2008-04-10",53
"2008-04-10",54
"2008-04-10",57
"2008-04-11",68
"2008-04-11",72
"2008-04-11",79
"2008-04-11",100
"2008-04-11",107
"2008-04-11",115
"2008-04-11",109
"2008-04-12",39
"2008-04-12",47
"2008-04-12",51
"2008-04-12",62
"2008-04-13",62
"2008-04-13",63
"2008-04-13",67
"2008-04-13",89
"2008-04-14",98
"2008-04-14",98
"2008-04-14",106
"2008-04-14",106
"2008-04-14",112
"2008-04-14",114
"2008-04-15",171
"2008-04-15",154
"2008-04-15",151
"2008-04-15",146
"2008-04-15",143
"2008-04-15",152
"2008-04-15",176
"2008-04-16",212
"2008-04-16",218
"2008-04-16",234
"2008-04-16",256
"2008-04-16",257
"2008-04-16",273
"2008-04-16",245
"2008-04-17",230
"2008-04-17",231
"2008-04-17",237
"2008-04-17",247
"2008-04-17",202
"2008-04-17",154
"2008-04-17",142
"2008-04-18",153
"2008-04-18",148
"2008-04-18",132
"2008-04-18",123
"2008-04-18",133
"2008-04-18",116
"2008-04-18",164
"2008-04-19",165
"2008-04-19",155
"2008-04-19",169
"2008-04-19",160
"2008-04-19",116
"2008-04-19",77
"2008-04-19",73
"2008-04-20",37
"2008-04-20",49
"2008-04-20",54
"2008-04-20",51
"2008-04-20",49
"2008-04-20",44
"2008-04-20",33
"2008-04-21",33
"2008-04-21",36
"2008-04-21",47
"2008-04-21",64
"2008-04-22",60
"2008-04-22",55
"2008-04-22",54
"2008-04-22",25
"2008-04-23",26
"2008-04-23",27
"2008-04-23",27
"2008-04-23",20
"2008-04-23",23
"2008-04-23",25
"2008-04-24",80
"2008-04-24",63
"2008-04-24",43
"2008-04-24",51
"2008-04-24",72
"2008-04-24",73
"2008-04-24",67
"2008-04-25",50
"2008-04-25",38
"2008-04-25",28
"2008-04-25",27
"2008-04-25",34
"2008-04-25",35
"2008-04-25",125
"2008-04-26",53
"2008-04-26",79
"2008-04-26",53
"2008-04-26",65
"2008-04-26",75
"2008-04-26",58
"2008-04-26",174
"2008-04-27",44
"2008-04-27",44
"2008-04-27",51
"2008-04-27",177
"2008-04-27",66
