"Date","PM25"
"2008-04-09",69.7
"2008-04-09",56.7
"2008-04-09",52.7
"2008-04-09",54.7
"2008-04-09",50.7
"2008-04-09",57.7
"2008-04-09",71.7
"2008-04-10",59.7
"2008-04-10",49.7
"2008-04-10",47.7
"2008-04-10",45.7
"2008-04-10",53.7
"2008-04-10",54.7
"2008-04-10",57.7
"2008-04-11",68.7
"2008-04-11",72.7
"2008-04-11",79.7
"2008-04-11",100.7
"2008-04-11",107.7
"2008-04-11",115.7
"2008-04-11",109.7
"2008-04-12",39.7
"2008-04-12",47.7
"2008-04-12",51.7
"2008-04-12",62.7
"2008-04-13",62.7
"2008-04-13",63.7
"2008-04-13",67.7
"2008-04-13",89.7
"2008-04-14",98.7
"2008-04-14",98.7
"2008-04-14",106.7
"2008-04-14",106.7
"2008-04-14",112.7
"2008-04-14",114.7
"2008-04-15",171.7
"2008-04-15",154.7
"2008-04-15",151.7
"2008-04-15",146.7
"2008-04-15",143.7
"2008-04-15",152.7
"2008-04-15",176.7
"2008-04-16",212.7
"2008-04-16",218.7
"2008-04-16",234.7
"2008-04-16",256.7
"2008-04-16",257.7
"2008-04-16",273.7
"2008-04-16",245.7
"2008-04-17",230.7
"2008-04-17",231.7
"2008-04-17",237.7
"2008-04-17",247.7
"2008-04-17",202.7
"2008-04-17",154.7
"2008-04-17",142.7
"2008-04-18",153.7
"2008-04-18",148.7
"2008-04-18",132.7
"2008-04-18",123.7
"2008-04-18",133.7
"2008-04-18",116.7
"2008-04-18",164.7
"2008-04-19",165.7
"2008-04-19",155.7
"2008-04-19",169.7
"2008-04-19",160.7
"2008-04-19",116.7
"2008-04-19",77.7
"2008-04-19",73.7
"2008-04-20",37.7
"2008-04-20",49.7
"2008-04-20",54.7
"2008-04-20",51.7
"2008-04-20",49.7
"2008-04-20",44.7
"2008-04-20",33.7
"2008-04-21",33.7
"2008-04-21",36.7
"2008-04-21",47.7
"2008-04-21",64.7
"2008-04-22",60.7
"2008-04-22",55.7
"2008-04-22",54.7
"2008-04-22",25.7
"2008-04-23",26.7
"2008-04-23",27.7
"2008-04-23",27.7
"2008-04-23",20.7
"2008-04-23",23.7
"2008-04-23",25.7
"2008-04-24",80.7
"2008-04-24",63.7
"2008-04-24",43.7
"2008-04-24",51.7
"2008-04-24",72.7
"2008-04-24",73.7
"2008-04-24",67.7
"2008-04-25",50.7
"2008-04-25",38.7
"2008-04-25",28.7
"2008-04-25",27.7
"2008-04-25",34.7
"2008-04-25",35.7
"2008-04-25",125.7
"2008-04-26",53.7
"2008-04-26",79.7
"2008-04-26",53.7
"2008-04-26",65.7
"2008-04-26",75.7
"2008-04-26",58.7
"2008-04-26",174.7
"2008-04-27",44.7
"2008-04-27",44.7
"2008-04-27",51.7
"2008-04-27",177.7
"2008-04-27",66.7
"2008-04-27",56.7
"2008-04-27",200.7
"2008-04-28",163.7
"2008-04-28",150.7
"2008-04-28",156.7
"2008-04-28",167.7
"2008-04-28",185.7
"2008-04-28",190.7
"2008-04-28",216.7
"2008-04-29",195.7
"2008-04-29",181.7
"2008-04-29",218.7
"2008-04-29",247.7
"2008-04-29",247.7
"2008-04-29",135.7
"2008-04-29",88.7
"2008-04-30",103.7
"2008-04-30",123.7
"2008-04-30",137.7
"2008-04-30",140.7
"2008-05-01",148.7
"2008-05-01",160.7
"2008-05-01",168.7
"2008-05-01",145.7
"2008-05-02",152.7
"2008-05-02",149.7
"2008-05-02",158.7
"2008-05-02",168.7
"2008-05-02",173.7
"2008-05-02",166.7
"2008-05-03",249.7
"2008-05-03",243.7
"2008-05-03",246.7
"2008-05-03",247.7
"2008-05-03",247.7
"2008-05-03",249.7
"2008-05-03",240.7
"2008-05-04",25.7
"2008-05-04",28.7
"2008-05-04",47.7
"2008-05-04",41.7
"2008-05-04",37.7
"2008-05-04",30.7
"2008-05-04",20.7
"2008-05-05",37.7
"2008-05-05",53.7
"2008-05-05",94.7
"2008-05-05",81.7
"2008-05-05",79.7
"2008-05-05",95.7
"2008-05-05",88.7
"2008-05-06",106.7
"2008-05-06",108.7
"2008-05-06",94.7
"2008-05-06",149.7
"2008-05-06",181.7
"2008-05-06",149.7
"2008-05-06",307.7
"2008-05-07",111.7
"2008-05-07",80.7
"2008-05-07",69.7
"2008-05-07",66.7
"2008-05-07",65.7
"2008-05-07",70.7
"2008-05-07",103.7
"2008-05-08",19.7
"2008-05-08",40.7
"2008-05-08",60.7
"2008-05-08",51.7
"2008-05-08",42.7
"2008-05-08",35.7
"2008-05-08",30.7
"2008-05-09",52.7
"2008-05-09",49.7
"2008-05-09",42.7
"2008-05-09",44.7
"2008-05-10",42.7
"2008-05-10",36.7
"2008-05-10",31.7
"2008-05-10",39.7
"2008-05-11",40.7
"2008-05-11",34.7
"2008-05-11",27.7
"2008-05-11",22.7
"2008-05-11",16.7
"2008-05-11",17.7
"2008-05-12",19.7
"2008-05-12",21.7
"2008-05-12",18.7
"2008-05-12",13.7
"2008-05-12",19.7
"2008-05-12",26.7
"2008-05-12",25.7
"2008-05-13",49.7
"2008-05-13",45.7
"2008-05-13",33.7
"2008-05-13",42.7
"2008-05-13",44.7
"2008-05-13",36.7
"2008-05-13",29.7
"2008-05-14",150.7
"2008-05-14",143.7
"2008-05-14",131.7
"2008-05-14",132.7
"2008-05-14",123.7
"2008-05-14",110.7
"2008-05-14",99.7
"2008-05-15",79.7
"2008-05-15",102.7
"2008-05-15",86.7
"2008-05-15",65.7
"2008-05-15",66.7
"2008-05-15",88.7
"2008-05-15",91.7
"2008-05-16",126.7
"2008-05-16",108.7
"2008-05-16",113.7
"2008-05-16",105.7
"2008-05-16",114.7
"2008-05-16",124.7
"2008-05-16",132.7
"2008-05-17",114.7
"2008-05-17",94.7
"2008-05-17",89.7
"2008-05-17",90.7
"2008-05-17",98.7
"2008-05-17",100.7
"2008-05-17",101.7
"2008-05-18",31.7
"2008-05-18",36.7
"2008-05-18",49.7
"2008-05-18",58.7
"2008-05-19",49.7
"2008-05-19",43.7
"2008-05-19",40.7
"2008-05-19",117.7
"2008-05-20",117.7
"2008-05-20",110.7
"2008-05-20",95.7
"2008-05-20",101.7
"2008-05-20",124.7
"2008-05-20",123.7
"2008-05-21",159.7
"2008-05-21",77.7
"2008-05-21",66.7
"2008-05-21",69.7
"2008-05-21",73.7
"2008-05-21",77.7
"2008-05-21",86.7
"2008-05-22",94.7
"2008-05-22",145.7
"2008-05-22",89.7
"2008-05-22",79.7
"2008-05-22",86.7
"2008-05-22",96.7
"2008-05-22",107.7
"2008-05-23",243.7
"2008-05-23",241.7
"2008-05-23",251.7
"2008-05-23",258.7
"2008-05-23",260.7
"2008-05-23",255.7
"2008-05-23",214.7
"2008-05-24",33.7
"2008-05-24",33.7
"2008-05-24",33.7
"2008-05-24",35.7
"2008-05-24",83.7
"2008-05-24",78.7
"2008-05-24",98.7
"2008-05-25",54.7
"2008-05-25",70.7
"2008-05-25",110.7
"2008-05-25",127.7
"2008-05-25",118.7
"2008-05-25",139.7
"2008-05-25",174.7
"2008-05-26",204.7
"2008-05-26",189.7
"2008-05-26",122.7
"2008-05-26",99.7
"2008-05-26",100.7
"2008-05-26",184.7
"2008-05-26",130.7
"2008-05-27",38.7
"2008-05-27",36.7
"2008-05-27",39.7
"2008-05-27",32.7
"2008-05-28",27.7
"2008-05-28",30.7
"2008-05-28",37.7
"2008-05-28",154.7
"2008-05-29",147.7
"2008-05-29",127.7
"2008-05-29",178.7
"2008-05-29",186.7
"2008-05-29",124.7
